Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1978","1978","hg/ha","17651","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1979","1979","hg/ha","14515","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1980","1980","hg/ha","9622","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1981","1981","hg/ha","13765","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1982","1982","hg/ha","7705","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1983","1983","hg/ha","17026","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1984","1984","hg/ha","15455","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1985","1985","hg/ha","13695","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1986","1986","hg/ha","14476","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1987","1987","hg/ha","13645","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1988","1988","hg/ha","15787","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1989","1989","hg/ha","15787","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1990","1990","hg/ha","16344","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1991","1991","hg/ha","14698","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1992","1992","hg/ha","17812","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1993","1993","hg/ha","19658","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1994","1994","hg/ha","11356","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1995","1995","hg/ha","17899","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1996","1996","hg/ha","21673","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1997","1997","hg/ha","18412","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1998","1998","hg/ha","19153","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1999","1999","hg/ha","20066","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2000","2000","hg/ha","18209","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2001","2001","hg/ha","18209","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2002","2002","hg/ha","21076","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2003","2003","hg/ha","9070","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2004","2004","hg/ha","19998","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2005","2005","hg/ha","16348","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2006","2006","hg/ha","20213","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2007","2007","hg/ha","9173","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2008","2008","hg/ha","10788","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2009","2009","hg/ha","15831","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2010","2010","hg/ha","15729","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2011","2011","hg/ha","20301","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2012","2012","hg/ha","21511","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2013","2013","hg/ha","17609","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2014","2014","hg/ha","20061","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2015","2015","hg/ha","19172","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2016","2016","hg/ha","19743","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2017","2017","hg/ha","26100","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2018","2018","hg/ha","19178","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2019","2019","hg/ha","16917","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2020","2020","hg/ha","14681","Fc","Calculated data"
